# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:46:42.730
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.017420,0.0850,-0.0580,0.2130,0.24
0.032944,-0.0120,-0.1810,0.4210,0.46
0.050095,-0.1130,0.0440,0.1510,0.19
0.050322,-0.0790,0.0690,-0.0520,0.12
0.071598,-0.0420,0.0270,-0.1030,0.11
0.071724,0.0420,-0.0310,-0.0800,0.10
0.090775,0.0370,-0.0440,-0.0260,0.06
0.090868,0.0640,-0.0870,0.1160,0.16
0.111137,0.0780,-0.0940,0.2370,0.27
0.111310,0.0660,-0.1060,0.3190,0.34
0.131701,0.0450,-0.1130,0.3420,0.36
0.131900,0.0400,-0.0830,0.3570,0.37
0.152065,0.0360,-0.0400,0.2610,0.27
0.152182,0.0250,0.0060,0.1400,0.14
0.172953,-0.0060,-0.0080,0.0370,0.04
0.173066,-0.0010,0.0200,-0.0560,0.06
0.194371,-0.0390,0.0270,-0.1690,0.18
0.194492,-0.0350,0.0250,-0.2310,0.23
0.213190,-0.0360,0.0550,-0.2480,0.26
0.213272,-0.0150,0.0360,-0.2310,0.23
0.234351,-0.0290,0.0060,-0.2000,0.20
0.234567,-0.0380,0.0060,-0.1560,0.16
0.254332,-0.0190,0.0070,-0.1110,0.11
0.254415,0.0110,0.0230,-0.0010,0.03
0.280310,0.0050,0.0030,0.0620,0.06
0.297182,-0.0240,0.0000,0.0340,0.04
0.314733,0.0250,-0.0170,0.0190,0.04
0.314911,0.0350,0.0080,-0.0470,0.06
0.335257,0.0200,0.0330,-0.0680,0.08
0.335491,0.0180,0.0250,-0.0580,0.07
0.355280,-0.0140,0.0330,-0.0560,0.07
0.355473,0.0230,0.0240,-0.0330,0.05
0.381976,0.0620,0.0540,-0.0530,0.10
0.399640,0.0480,0.1030,-0.1010,0.15
0.417617,0.0620,0.1200,-0.1000,0.17
0.417838,0.0630,0.1220,-0.0870,0.16
0.438575,0.0440,0.1380,-0.0950,0.17
0.438818,0.0970,0.1470,-0.1140,0.21
0.464886,0.0700,0.1540,-0.1120,0.20
0.481176,-0.0140,0.1200,-0.1780,0.22
0.499606,-0.0340,0.1350,-0.2370,0.27
0.499794,-0.0370,0.0970,-0.3080,0.33
0.520008,0.0560,0.0830,-0.4260,0.44
0.520211,0.1270,0.0890,-0.5800,0.60
0.547765,0.2890,0.1690,-0.7500,0.82
0.565403,0.5780,0.3330,-1.4350,1.58
0.581047,0.8120,0.2480,-2.6870,2.82
0.581192,-0.3510,-1.0510,-3.2810,3.46
0.602079,-0.5390,-1.3370,-2.6250,2.99
0.602327,-1.1170,0.0850,-2.5650,2.80
0.621835,-0.8960,0.5670,-2.4950,2.71
0.622030,-0.0290,-0.6560,-2.5640,2.65
0.648968,0.0640,-1.4880,-2.4020,2.83
0.665271,0.0630,-1.6300,-1.6470,2.32
0.683356,0.0530,-1.0570,-1.0350,1.48
0.683528,0.0150,-0.8430,-0.8100,1.17
0.704777,0.0220,-0.6650,-0.6370,0.92
0.704947,0.0310,-0.5450,-0.4980,0.74
0.729494,0.0210,-0.4380,-0.3870,0.58
0.747890,0.0150,-0.2880,-0.2460,0.38
0.765364,0.0060,-0.1740,-0.1310,0.22
