# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:54:53.505
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.353660,-0.0510,0.0410,0.0950,0.12
0.366004,-0.1820,-0.0530,0.0540,0.20
0.381494,-0.0070,0.0380,-0.2570,0.26
0.402318,-0.0620,0.1060,-0.3750,0.39
0.402508,-0.0360,0.1320,-0.1430,0.20
0.422200,0.0360,0.1190,0.2110,0.24
0.422436,0.0170,0.0280,0.5500,0.55
0.448849,-0.0780,-0.0610,0.7360,0.74
0.466254,-0.1600,-0.2580,0.4840,0.57
0.484081,-0.0650,0.0120,0.2680,0.28
0.484218,-0.0120,0.0720,0.1500,0.17
0.504403,0.0110,0.1210,-0.1000,0.16
0.504591,-0.4230,0.1560,-0.3250,0.56
0.531147,-0.2160,0.2930,-0.4400,0.57
0.548699,0.0010,0.3880,-0.6360,0.75
0.565432,-0.0430,0.3390,-0.7230,0.80
0.565622,0.0800,0.3570,-0.4710,0.60
0.586274,0.0900,0.2740,-0.2560,0.39
0.586488,0.0650,0.1370,-0.0880,0.18
0.606555,-0.0090,0.0810,-0.0340,0.09
0.606823,-0.0720,0.0030,0.0510,0.09
0.632687,0.0510,0.0370,0.1610,0.17
0.648589,0.2460,0.0170,0.4400,0.50
0.666264,0.1280,-0.0010,0.6080,0.62
0.666459,0.0110,-0.0340,0.5840,0.59
0.686603,-0.0790,-0.0250,0.4730,0.48
0.686836,-0.0710,-0.0960,0.3020,0.32
0.713940,-0.0080,0.2190,0.2010,0.30
0.731292,0.1330,0.0480,0.2660,0.30
0.748780,0.0000,0.3430,0.7670,0.84
0.748994,0.0210,0.2490,0.8380,0.87
0.769441,-0.0400,-0.0930,0.7140,0.72
0.769665,-0.0720,-0.2710,0.7900,0.84
0.789620,-0.0070,0.2280,1.0760,1.10
0.789803,0.0580,0.4890,1.4780,1.56
0.814378,-0.1360,0.3160,1.7550,1.79
0.831191,-0.5380,-0.1210,1.7000,1.79
0.850735,-1.2470,0.1640,0.5630,1.38
0.851069,-1.2910,0.0990,0.3360,1.34
0.871177,-0.9650,-0.0850,0.3870,1.04
0.871372,-0.8620,-0.2800,0.3130,0.96
0.897409,-1.3060,-0.2200,0.2390,1.35
0.914001,-2.1270,-0.1170,-0.6090,2.22
0.932776,-0.1820,-0.4910,-1.3100,1.41
0.932959,1.1640,-0.4980,-1.3270,1.83
0.958215,1.8080,-0.3320,-1.4220,2.32
0.977887,2.2020,-0.9390,-2.6400,3.56
0.993251,2.6130,-1.1870,-3.6320,4.63
0.993317,2.9020,-1.3110,-4.0240,5.13
1.013379,2.9940,-1.4130,-4.3300,5.45
1.013558,2.6860,-1.4040,-4.7190,5.61
1.037564,2.1870,-1.1540,-5.6270,6.15
1.037696,1.8110,-0.8540,-7.0220,7.30
1.062328,1.5250,-0.4940,-8.7030,8.85
1.076105,1.6400,0.3040,-9.9280,10.07
1.095543,1.7240,0.2540,-9.1150,9.28
1.095697,1.1150,-0.4240,-8.7500,8.83
1.116301,-0.2260,-0.8410,-8.6030,8.65
1.116468,-1.5420,-1.6320,-7.3320,7.67
1.136563,-2.7300,-2.8000,-5.2050,6.51
1.136888,-3.4780,-3.6800,-3.0970,5.94
1.161489,-3.6030,-4.5720,-1.1190,5.93
1.161647,-3.3170,-5.4750,0.5420,6.42
1.180455,-3.2720,-6.0430,1.9330,7.14
1.180676,-3.8610,-5.4910,2.9600,7.34
1.197323,-5.5750,-4.3160,3.6510,7.94
1.197484,-7.0930,-4.3150,4.7310,9.56
1.216525,-5.8090,-6.2900,7.4870,11.37
1.216728,-2.9860,-8.3170,12.3340,15.17
1.238688,-0.8240,-10.4290,18.0230,20.84
1.238980,1.9700,-12.8230,25.2900,28.42
1.264937,5.8760,-13.7770,36.8830,39.81
1.280163,8.0030,-1.3140,43.7970,44.54
1.299219,8.3580,13.2280,28.0300,32.10
1.299390,4.4780,13.6780,16.8590,22.17
1.320432,1.2880,12.1120,2.3300,12.40
1.320580,1.3210,8.7380,-8.6320,12.35
1.347017,2.4880,4.4480,-14.9770,15.82
1.364661,0.4890,1.0310,-15.6370,15.68
1.381689,-2.4480,-1.0610,-12.1810,12.47
1.381847,-3.6380,-2.6990,-10.7620,11.68
1.401732,-4.1480,-4.4830,-10.0120,11.73
1.401993,-4.4640,-5.7810,-10.1720,12.52
1.422200,-4.7300,-6.2570,-11.0600,13.56
1.422402,-5.3910,-6.1850,-11.9700,14.51
1.447801,-5.8560,-5.1680,-13.0600,15.22
1.464683,-4.7140,-1.6150,-14.2580,15.10
1.482906,-2.6880,1.8450,-14.4990,14.86
1.483055,-1.8350,3.1900,-14.3290,14.79
1.504287,-1.0040,4.2910,-13.7620,14.45
1.504457,-1.0020,5.0920,-12.5870,13.61
1.531315,-1.3150,4.6540,-11.0160,12.03
1.547684,-1.5790,3.3940,-9.6080,10.31
1.564970,-1.7790,2.0830,-9.7690,10.15
1.565137,-1.4170,0.6840,-8.2330,8.38
1.585364,-0.9980,-0.9170,-5.9100,6.06
1.585599,-0.5840,-2.6890,-3.1820,4.21
1.605462,-0.2020,-4.4810,-0.8010,4.56
1.605605,0.1280,-6.2870,1.6630,6.50
1.629433,0.0090,-7.7070,4.8970,9.13
1.629744,-0.8710,-7.8550,7.9860,11.24
1.647154,-0.7010,-8.8070,8.9840,12.60
1.647335,-0.7180,-8.8500,10.5290,13.77
1.666472,0.6220,-9.6460,13.0510,16.24
1.666639,2.8710,-9.3850,18.2840,20.75
1.686933,5.2000,-6.9470,22.9120,24.50
1.687098,4.7040,-3.6150,23.3360,24.08
1.712711,5.9990,-2.8690,20.8700,21.90
1.729872,17.5790,-3.9550,30.9460,35.81
1.746456,19.5600,14.4640,36.0080,43.46
1.746639,15.8490,21.3000,28.8060,39.17
1.770068,8.5110,23.2050,16.6300,29.79
1.770150,3.7190,21.5200,5.6900,22.57
1.797497,2.7800,18.6010,-3.0530,19.05
1.813239,2.4570,9.0060,-11.9550,15.17
1.829907,-0.0100,1.5700,-10.5690,10.68
1.830102,-1.4980,-2.2430,-9.1830,9.57
1.850088,-4.8470,-5.1170,-7.2390,10.10
1.850314,-7.7560,-7.6990,-6.4130,12.67
1.871214,-10.2020,-9.5970,-7.0250,15.67
1.871400,-11.5140,-10.3960,-7.8130,17.37
1.896483,-12.3310,-10.4120,-8.8300,18.40
1.896719,-12.5660,-9.4920,-9.9930,18.65
1.912971,-12.1590,-8.2960,-11.5970,18.74
1.913160,-11.1010,-6.4780,-12.6660,18.05
1.931886,-10.3270,-3.9620,-13.1480,17.18
1.932059,-9.2920,-1.7390,-12.8570,15.96
1.952387,-7.9830,-0.0180,-12.4320,14.77
1.952586,-5.8710,1.3410,-12.1310,13.54
1.974737,-3.7790,2.6010,-11.9610,12.81
1.974873,-2.2110,3.7090,-12.0040,12.76
1.992255,-0.7170,4.5760,-12.1730,13.02
1.992349,0.2510,5.0710,-11.4300,12.51
2.012992,0.9920,5.3110,-10.1400,11.49
2.013188,1.5040,4.9730,-8.7210,10.15
2.033490,2.2680,4.3840,-6.7540,8.37
2.033713,1.7150,4.4320,-5.3190,7.13
2.053278,1.0440,4.0880,-4.1960,5.95
2.053354,0.4670,4.1630,-3.1020,5.21
2.078530,0.7890,4.3180,-2.5160,5.06
2.095665,2.0090,4.2250,-2.5650,5.34
2.115953,2.3780,3.7430,-1.3130,4.62
2.116146,2.3060,3.2570,0.0440,3.99
2.136488,1.8200,2.7030,1.7290,3.69
2.136709,1.1650,2.6950,3.0610,4.24
2.163582,1.3510,3.7050,4.1920,5.76
2.179246,3.2960,1.6630,4.2290,5.61
2.197805,3.7290,0.9130,3.9820,5.53
2.197980,4.0190,1.9040,4.1680,6.10
2.216318,3.6420,1.9370,4.2210,5.90
2.216501,2.8560,2.6070,3.9170,5.50
2.236644,2.8270,2.0640,3.8330,5.19
2.236852,3.0450,0.8660,3.4890,4.71
2.262717,3.4360,0.1760,3.1210,4.65
2.263056,3.9800,-0.3220,2.7050,4.82
2.278923,4.5920,-0.8990,2.1870,5.17
2.279058,4.9780,-1.8440,1.5560,5.53
2.299384,5.1140,-2.9290,1.2600,6.03
2.299539,4.7580,-4.1340,2.2530,6.69
2.319611,5.5570,-3.3990,5.3750,8.45
2.319770,3.6490,-1.6410,8.0210,8.96
2.345446,1.9400,-2.1130,7.4210,7.96
2.362841,-0.4080,-1.9860,2.1600,2.96
2.380358,-1.3090,-2.9870,1.8740,3.76
2.380547,-3.7940,-1.7730,3.4870,5.45
2.401366,-4.8930,-0.7150,4.3370,6.58
2.401605,-5.2170,-0.7370,5.0460,7.30
2.428155,-4.8040,-1.6790,4.5390,6.82
2.446000,-5.6470,-0.0620,2.5760,6.21
2.462028,-6.4340,1.0730,-1.3130,6.65
2.462201,-6.0760,1.1670,-2.6360,6.73
2.482477,-5.4050,1.6750,-3.4190,6.61
2.482659,-3.9480,2.5900,-3.2260,5.72
2.502947,-1.8830,2.5740,-2.8430,4.27
2.503167,-0.8660,2.6240,-1.9410,3.38
2.528026,0.4040,2.8940,-1.6000,3.33
2.528198,0.1450,1.7750,-1.1460,2.12
2.545145,-0.1690,0.7380,-0.6350,0.99
2.545309,-0.2980,0.1770,-0.5450,0.65
2.565345,0.2570,0.3250,-0.4700,0.63
2.565501,1.5870,0.5190,-0.6190,1.78
2.592310,1.7630,0.6850,-0.6240,1.99
2.611375,-0.1400,0.5910,0.1720,0.63
2.627189,-1.5920,0.8080,0.6910,1.91
2.627385,-1.8580,0.9770,0.7330,2.22
2.646325,-1.2540,0.2570,0.6190,1.42
2.646505,-0.0320,0.1860,0.4010,0.44
2.666743,0.6530,0.8690,-0.3600,1.15
2.667005,0.9360,1.3430,-0.8590,1.85
2.694887,0.5080,0.7040,-0.1870,0.89
2.711224,-1.0020,-1.2250,0.9110,1.83
2.728089,0.1760,-3.4960,1.1050,3.67
2.728266,0.7880,-6.8630,1.7000,7.11
2.746820,1.0330,-6.8270,2.8330,7.46
2.747027,2.0500,-4.6740,5.4050,7.43
2.766993,2.7240,-5.4040,7.1970,9.40
2.767219,4.1920,-7.7080,7.9470,11.84
2.794181,5.4660,-9.2770,6.0220,12.34
2.794360,6.2230,-10.2230,2.5650,12.24
2.812209,7.5050,-10.0620,-0.7360,12.57
2.812538,8.4060,-8.7810,-3.2380,12.58
2.829105,8.7550,-6.9150,-4.4460,12.01
2.829270,8.6610,-5.1760,-5.2710,11.38
2.849828,7.7790,-3.2600,-6.3200,10.54
2.850003,6.4360,-1.1770,-8.1630,10.46
2.877363,4.9700,0.4620,-10.2570,11.41
2.891455,2.8250,2.5380,-13.4710,14.00
2.910143,2.0250,3.0460,-14.6890,15.14
2.910230,2.0180,3.1630,-14.0940,14.58
2.930953,2.0950,2.0030,-13.5640,13.87
2.931038,1.4180,2.1260,-11.9580,12.23
2.951218,0.2780,2.4090,-9.1720,9.49
2.951319,-0.8340,1.8410,-5.8550,6.19
2.972972,-1.8800,0.5210,-2.8660,3.47
2.973373,-2.5420,-0.5380,-0.5990,2.67
2.994223,-2.6250,-1.3460,0.6670,3.02
2.994311,-2.6730,-2.0100,1.5430,3.68
3.012543,-3.0610,-2.3810,2.6040,4.67
3.013071,-3.7710,-2.8860,3.8030,6.08
3.033648,-4.8150,-3.3580,5.1930,7.84
3.033747,-6.5220,-3.4220,6.4260,9.77
3.055871,-8.6460,-2.8370,6.9130,11.43
3.055957,-9.8880,-2.1110,6.9570,12.27
3.075572,-9.5320,-1.3880,6.5900,11.67
3.075725,-8.7120,-0.4280,6.5310,10.90
3.094991,-6.8790,0.4420,6.4080,9.41
3.095171,-4.9360,0.5370,5.9920,7.78
3.115611,-3.4720,0.4720,5.5920,6.60
3.115821,-2.9480,0.0650,5.3200,6.08
3.142381,-4.0520,-1.1190,5.5400,6.95
3.159970,-6.6500,-1.2390,6.2130,9.18
3.176815,-4.8850,-2.0920,6.8110,8.64
3.176995,-2.5860,-2.9550,6.2170,7.35
3.196615,0.0310,-4.2550,4.8490,6.45
3.196806,2.2350,-5.7400,3.8390,7.26
3.217064,3.7320,-6.7870,3.8770,8.66
3.217276,4.9550,-6.8470,4.8450,9.74
3.241653,5.8790,-7.3970,5.9250,11.15
3.241845,6.4270,-8.1300,6.5830,12.28
3.259808,6.5400,-8.7620,6.7050,12.83
3.259998,7.2580,-10.3020,5.4500,13.73
3.276640,8.3160,-11.5020,2.8600,14.48
3.276802,9.5370,-12.3480,-0.0100,15.60
3.298844,10.5580,-13.1810,-2.0020,17.01
3.299099,11.4270,-13.0120,-2.2560,17.46
3.326825,12.1760,-11.6810,-2.1320,17.01
3.343616,9.9540,-4.1790,-4.2250,11.59
3.359851,3.3880,2.4560,-6.9590,8.12
3.360037,-0.3060,3.8090,-6.4940,7.53
3.380069,-3.1020,4.6250,-6.1220,8.28
3.380276,-3.4490,4.4110,-7.5060,9.36
3.400585,-1.0580,3.8730,-10.0500,10.82
3.400756,3.6540,3.7270,-13.4860,14.46
3.427153,8.5140,4.4950,-16.7670,19.33
3.444491,9.7320,8.8520,-16.2080,20.88
3.461566,3.6400,11.1400,-10.5900,15.80
3.461739,1.2420,10.8690,-7.4490,13.24
3.482697,-0.8420,9.8710,-4.8900,11.05
3.483049,-2.7250,8.2210,-3.5920,9.38
3.509391,-5.1570,6.5530,-2.9310,8.84
3.527088,-9.3970,4.6460,-1.5220,10.59
3.543232,-10.8110,3.1980,1.1240,11.33
3.543380,-9.9830,3.1660,3.0770,10.92
3.563866,-8.2010,2.9730,5.0670,10.09
3.564048,-6.7430,2.5760,6.5360,9.74
3.591559,-6.0050,1.9240,7.4230,9.74
3.607968,-5.3910,0.4030,7.8650,9.54
3.624867,-7.5890,0.4010,8.1230,11.12
3.624971,-6.9560,1.3380,7.7890,10.53
3.645680,-4.9840,2.2830,7.0260,8.91
3.645837,-3.0540,2.4510,5.7570,6.96
3.666102,-2.2380,1.8990,4.3080,5.21
3.666294,-1.9820,0.8890,3.0480,3.74
3.692434,-1.8580,-0.4850,2.5530,3.19
3.707792,-2.1760,-2.2920,3.5250,4.73
3.726449,-2.1480,-2.6280,4.7800,5.86
3.726606,-1.8390,-2.4550,4.9910,5.86
3.746427,-1.4980,-2.7760,5.0380,5.94
3.746629,-1.0010,-3.9940,5.3580,6.76
3.766971,0.1910,-5.2600,6.0620,8.03
3.767102,1.7840,-7.2650,6.6750,10.03
3.791154,3.2350,-8.7830,7.4370,11.95
3.791421,4.5860,-10.2900,8.4820,14.10
3.809952,5.7090,-10.9710,9.7350,15.74
3.810153,6.5530,-10.9790,10.1520,16.33
3.829079,6.7310,-10.9800,9.0810,15.76
3.829287,6.0780,-11.6900,5.8820,14.43
3.850084,5.1630,-12.6640,0.7650,13.70
3.850245,4.7930,-13.9290,-4.9420,15.54
3.873972,4.8320,-13.8800,-8.9790,17.22
3.892658,4.8040,-9.7440,-10.7390,15.28
3.910404,3.7100,-2.8500,-9.1840,10.31
3.910561,2.5310,1.2000,-8.0730,8.55
3.931450,0.4390,4.4150,-7.1580,8.42
3.931655,-2.6150,4.5720,-7.0900,8.83
3.957215,-5.5630,3.4160,-7.8530,10.21
3.974538,-2.4740,3.5090,-11.8040,12.56
