# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:45:04.970
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.017055,-0.1810,0.2550,0.0220,0.31
0.017224,-0.0490,-0.0280,0.2150,0.22
0.035622,0.1690,-0.1950,0.4730,0.54
0.035795,0.3150,-0.2560,0.5730,0.70
0.048384,0.2310,-0.2850,0.5370,0.65
0.048556,0.0890,-0.1800,0.3910,0.44
0.068854,0.0580,-0.0120,0.2190,0.23
0.069034,0.0560,0.0870,0.1220,0.16
0.091260,0.0620,0.0930,0.0070,0.11
0.091561,0.0820,0.0340,-0.0410,0.10
0.116776,0.1150,0.0230,-0.0430,0.12
0.116955,0.2160,-0.0170,-0.0650,0.23
0.132349,0.2690,-0.0940,-0.1070,0.30
0.132551,0.2420,-0.1170,-0.1410,0.30
0.150651,0.1990,-0.0630,-0.1800,0.28
0.150845,0.1090,0.0290,-0.1630,0.20
0.170907,0.0850,0.1060,-0.1610,0.21
0.171136,0.0260,0.1480,-0.1570,0.22
0.197706,0.0530,0.0720,-0.1220,0.15
0.214714,-0.0610,-0.0570,0.0950,0.13
0.234401,-0.1150,-0.1440,0.1770,0.26
0.234608,0.0270,-0.1740,0.1360,0.22
0.252580,0.0720,-0.1700,0.1060,0.21
0.252822,0.1050,-0.1260,0.0470,0.17
0.272527,0.0190,-0.0840,0.0160,0.09
0.272729,-0.1330,-0.0460,0.0240,0.14
0.296911,-0.1700,0.0290,0.0250,0.17
0.297088,-0.2850,0.1190,-0.0310,0.31
0.316335,-0.5750,0.4400,-0.1490,0.74
0.316539,-0.5110,0.3350,-0.1590,0.63
0.334829,-0.4510,0.2930,-0.1620,0.56
0.335014,-0.3260,0.2670,-0.1770,0.46
0.355751,-0.2340,0.2130,-0.2050,0.38
0.355980,-0.1410,0.2030,-0.2080,0.32
0.383585,-0.0420,0.1550,-0.2050,0.26
0.398166,0.0940,0.0660,-0.1760,0.21
0.415531,0.1140,-0.0200,-0.0980,0.15
0.415706,0.1510,-0.0710,-0.0630,0.18
0.435638,0.2070,-0.1280,0.0100,0.24
0.435846,0.2400,-0.1670,0.1210,0.32
0.456077,0.2360,-0.1820,0.2100,0.36
0.456298,0.2100,-0.2030,0.2880,0.41
0.482116,0.2250,-0.2180,0.3360,0.46
0.482320,0.2160,-0.2050,0.3200,0.44
0.500119,0.2190,-0.1920,0.2910,0.41
0.500304,0.2130,-0.1360,0.2800,0.38
0.518049,0.1820,-0.0900,0.2490,0.32
0.518298,0.1260,-0.0320,0.2180,0.25
0.538721,0.0280,0.0330,0.1840,0.19
