# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:53:27.314
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.404979,-0.0980,0.2400,-0.0240,0.26
0.433054,-0.0010,-0.1790,0.5250,0.55
0.433402,0.0500,-0.5380,0.4850,0.73
0.444248,0.4540,-0.3000,0.1480,0.56
0.465337,1.1260,-0.2670,-0.2860,1.19
0.481306,0.7080,-0.1010,0.0530,0.72
0.501278,0.2970,-0.3490,-0.0040,0.46
0.501503,0.2760,-0.2980,-0.0780,0.41
0.521084,0.3930,-0.3090,-0.1120,0.51
0.521316,0.5900,-0.3680,-0.2580,0.74
0.541460,0.7550,-0.3610,-0.4000,0.93
0.541583,0.8210,-0.1780,-0.5250,0.99
0.565111,0.2890,-0.0730,-0.8970,0.95
0.565312,-0.2200,-0.0430,-1.2960,1.32
0.582643,-0.6070,0.2980,-1.6930,1.82
0.582840,-0.9530,0.5080,-1.9810,2.26
0.602191,0.9570,1.0790,-1.7240,2.25
0.602383,-1.3580,1.7750,2.9250,3.68
0.623483,-11.7570,1.4020,14.3000,18.57
0.623653,-7.9560,4.6480,3.7820,9.96
0.648909,0.3580,2.9730,-2.5150,3.91
0.664674,6.1890,-3.4010,-1.2110,7.16
0.684373,2.5410,-2.3560,0.8460,3.57
0.684582,0.9070,-0.5030,1.8340,2.11
0.704984,0.9210,0.6290,2.0210,2.31
0.705216,2.2960,0.4360,1.6340,2.85
0.734075,3.6790,-0.2820,1.5250,3.99
0.747845,4.4550,-1.1150,1.9620,4.99
0.766390,7.2910,1.7170,2.2690,7.83
0.766971,4.1090,4.6790,4.1480,7.48
0.786017,-0.5930,7.6490,3.4030,8.39
0.786105,1.5700,4.4830,-2.3010,5.28
0.806518,2.4500,2.9560,-2.6550,4.67
0.806699,0.1920,2.0800,-0.0090,2.09
0.828541,0.6050,-1.7600,-1.0110,2.12
0.828621,0.4300,-4.1620,-2.4690,4.86
0.849971,-0.9630,-3.8550,-2.4850,4.69
0.850149,-2.1170,-3.9800,-2.2960,5.06
0.871435,-2.8120,-4.6190,-2.9170,6.14
0.871721,-3.0230,-4.9740,-3.2400,6.66
0.902404,-3.4300,-4.8110,-2.7330,6.51
0.929434,-3.7150,-4.1590,-1.6740,5.82
0.929557,-3.0770,-4.2200,-1.4330,5.42
0.949397,-3.2450,-4.5150,-1.0870,5.67
0.949493,-4.4500,-5.3030,-0.3370,6.93
0.970438,-6.5040,-6.0510,0.9650,8.94
0.970690,-9.0930,-7.1180,1.6840,11.67
0.990703,-11.8660,-9.1080,1.8160,15.07
0.990976,-13.0320,-11.2200,2.3220,17.35
1.015451,-11.5480,-11.9030,3.4820,16.95
1.031821,-2.5530,-10.1830,5.8500,12.02
1.051643,5.2380,-6.6270,2.4610,8.80
1.051853,7.6880,-4.9400,-1.7230,9.30
1.071580,9.6940,-3.2540,-6.5620,12.15
1.071800,11.9330,-0.7110,-11.7460,16.76
1.099287,14.8190,3.3090,-17.2390,22.97
1.116115,18.2590,11.3860,-19.8520,29.28
1.133822,29.3890,9.2710,-2.6330,30.93
1.134013,42.1290,8.2640,6.4190,43.41
1.154307,38.3290,9.4230,12.3270,41.35
1.154508,30.6630,15.5160,15.4180,37.67
1.178718,24.5300,21.6510,14.7060,35.87
1.178917,13.2230,17.8610,4.2100,22.62
1.196394,-2.7520,13.0760,-8.1040,15.63
1.196593,-15.4790,12.1250,-10.5750,22.33
1.215317,-19.7020,9.4450,-9.8060,23.95
1.215555,-16.1980,2.4340,-9.9350,19.16
1.235411,-13.2790,-1.8000,-6.2890,14.80
1.235602,-12.3450,-2.9090,-1.5700,12.78
1.256684,-11.9670,-3.6220,1.0590,12.55
1.256871,-11.5950,-4.4280,1.7950,12.54
1.279071,-11.0050,-5.0980,1.6470,12.24
1.279253,-10.3290,-5.0180,1.6070,11.60
1.297153,-9.5060,-4.8940,1.2790,10.77
1.297294,-8.9630,-5.0510,0.9410,10.33
1.317026,-8.6790,-5.4080,0.9100,10.27
1.317236,-8.3720,-5.7420,1.2850,10.23
1.337057,-7.9640,-6.0130,1.7870,10.14
1.337220,-7.3840,-6.0070,2.3540,9.81
1.362376,-6.7810,-5.9300,3.0590,9.51
1.381580,-5.5210,-6.3510,4.4140,9.50
1.398765,-4.3260,-6.1090,6.5740,9.96
1.398951,-3.8420,-5.8990,7.3010,10.14
1.419613,-4.2740,-5.4540,7.9420,10.54
1.419797,-4.6220,-4.4570,8.3400,10.53
1.447594,-4.7340,-3.0680,7.9400,9.74
1.463062,-4.2090,-0.9850,5.7190,7.17
1.481028,0.5710,0.0450,1.1310,1.27
1.481204,2.8540,0.1740,1.1590,3.09
1.501687,4.4900,0.1430,2.3580,5.07
1.501898,5.8270,-0.4400,4.2270,7.21
1.521142,6.8260,-1.4520,5.6020,8.95
1.521336,7.4740,-2.2720,5.9220,9.80
1.548350,8.0290,-3.2910,5.1200,10.08
1.563961,10.8140,-5.2330,2.3700,12.25
1.581365,18.8390,-6.5240,-2.1000,20.05
1.581577,25.1090,-6.6640,-4.6240,26.39
1.602074,29.3790,-6.7480,-4.5320,30.48
1.602277,30.8410,-6.6280,0.5180,31.55
1.621685,25.4770,-4.3660,6.2510,26.59
1.622057,16.3080,-3.9810,6.2740,17.92
1.647567,6.4440,-4.3150,-0.1070,7.76
1.647784,0.6250,-3.9500,-8.6730,9.55
1.663914,-1.3550,-1.6980,-16.4600,16.60
1.664098,-2.6620,1.6610,-21.7390,21.96
1.684305,-4.1320,5.2670,-25.2830,26.15
1.684481,-6.5650,8.1650,-25.2730,27.36
1.704667,-9.5180,11.1440,-22.0300,26.46
1.704889,-9.5930,11.3560,-18.3440,23.61
1.731732,-9.5110,11.7160,-16.2310,22.16
1.748540,-10.6920,12.5460,-14.9450,22.25
1.765849,-11.0540,11.8630,-13.3570,21.01
1.766032,-10.1230,10.6430,-12.7200,19.43
1.786546,-9.9430,9.4230,-9.9230,16.92
1.786766,-9.1510,7.9650,-5.7330,13.42
1.813893,-8.2120,6.6540,-2.1390,10.78
1.829955,-5.2180,2.2680,4.2090,7.08
1.847768,-1.8590,-4.2380,7.7810,9.05
1.847920,-0.4530,-6.1680,8.4540,10.47
1.867514,1.4220,-6.9530,8.8570,11.35
1.867679,3.2520,-6.9950,9.4130,12.17
